,best
adjunct_island,0.573
adv_order,0.895
anaphor_gender_agreement,0.745
anaphor_number_agreement,0.828
center_embedding_double_1,0.631
center_embedding_double_2,0.678
center_embedding_single_1,0.802
center_embedding_single_2,0.611
complex_np_island,0.301
coordinate_structure_constrain_object_extraction,0.802
determiner_noun_agreement_1,0.896
determiner_noun_agreement_2,0.881
determiner_noun_agreement_adj_1,0.842
determiner_noun_agreement_adj_2,0.875
ellipsis,0.639
green_ideas,0.619
intransitive,0.45
left_branch_island_simple_question,0.392
matrix_question_npi_licensor_present,0.161
npi_present,0.774
only_npi_licensor_present,0.786
only_npi_scope,0.586
pp_order,0.715
principle_A_c_command,0.686
principle_A_domain_1,0.998
principle_A_domain_2,0.672
principle_A_domain_3,0.496
recursion_intensifier_adj_long,0.668
recursion_intensifier_adj_medium,0.865
recursion_intensifier_adj_short,0.923
recursion_intensifier_adv_long,0.393
recursion_intensifier_adv_medium,0.363
recursion_intensifier_adv_short,0.321
recursion_poss_ditransitive_long,0.6
recursion_poss_ditransitive_medium,0.612
recursion_poss_ditransitive_short,0.631
recursion_poss_transitive_long,0.909
recursion_poss_transitive_medium,0.982
recursion_poss_transitive_short,0.996
recursion_pp_is_long,0.304
recursion_pp_is_medium,0.546
recursion_pp_is_short,0.715
recursion_pp_verb_long,0.566
recursion_pp_verb_medium,0.797
recursion_pp_verb_short,0.887
sentential_negation_npi_licensor_present,0.512
sentential_negation_npi_scope,0.39
subj_aux_agreement_question_vary_aux,0.569
subj_aux_agreement_question_vary_subj,0.474
subj_aux_vary_subj,0.899
subj_aux_vary_verb,0.958
subj_aux_vary_verb_pp,0.729
subj_aux_vary_verb_rc,0.713
subj_verb_vary_verb,0.847
svo_vos,0.711
swapped_ditransitive_1,0.402
swapped_ditransitive_2,0.561
transitive,0.522
wh_island,0.747
wh_questions_object_gap,0.546
wh_questions_object_gap_long_distance,0.572
wh_questions_subject_gap,0.891
wh_questions_subject_gap_long_distance,0.923
wh_vs_that_no_gap,0.99
wh_vs_that_no_gap_long_distance,0.997
wh_vs_that_with_gap,0.091
wh_vs_that_with_gap_long_distance,0.031
