,best
adjunct_island,0.631
adv_order,0.876
anaphor_gender_agreement,0.894
anaphor_number_agreement,0.915
center_embedding_double_1,0.662
center_embedding_double_2,0.663
center_embedding_single_1,0.832
center_embedding_single_2,0.606
complex_np_island,0.354
coordinate_structure_constrain_object_extraction,0.632
determiner_noun_agreement_1,0.892
determiner_noun_agreement_2,0.87
determiner_noun_agreement_adj_1,0.847
determiner_noun_agreement_adj_2,0.873
ellipsis,0.608
green_ideas,0.645
intransitive,0.443
left_branch_island_simple_question,0.299
matrix_question_npi_licensor_present,0.098
npi_present,0.699
only_npi_licensor_present,0.935
only_npi_scope,0.647
pp_order,0.71
principle_A_c_command,0.572
principle_A_domain_1,0.992
principle_A_domain_2,0.753
principle_A_domain_3,0.484
recursion_intensifier_adj_long,0.901
recursion_intensifier_adj_medium,0.961
recursion_intensifier_adj_short,0.945
recursion_intensifier_adv_long,0.22
recursion_intensifier_adv_medium,0.191
recursion_intensifier_adv_short,0.206
recursion_poss_ditransitive_long,0.682
recursion_poss_ditransitive_medium,0.684
recursion_poss_ditransitive_short,0.683
recursion_poss_transitive_long,0.972
recursion_poss_transitive_medium,0.974
recursion_poss_transitive_short,0.992
recursion_pp_is_long,0.12
recursion_pp_is_medium,0.308
recursion_pp_is_short,0.697
recursion_pp_verb_long,0.539
recursion_pp_verb_medium,0.715
recursion_pp_verb_short,0.861
sentential_negation_npi_licensor_present,0.448
sentential_negation_npi_scope,0.463
subj_aux_agreement_question_vary_aux,0.535
subj_aux_agreement_question_vary_subj,0.485
subj_aux_vary_subj,0.845
subj_aux_vary_verb,0.985
subj_aux_vary_verb_pp,0.739
subj_aux_vary_verb_rc,0.72
subj_verb_vary_verb,0.878
svo_vos,0.765
swapped_ditransitive_1,0.42
swapped_ditransitive_2,0.65
transitive,0.547
wh_island,0.787
wh_questions_object_gap,0.415
wh_questions_object_gap_long_distance,0.452
wh_questions_subject_gap,0.846
wh_questions_subject_gap_long_distance,0.896
wh_vs_that_no_gap,0.969
wh_vs_that_no_gap_long_distance,0.985
wh_vs_that_with_gap,0.214
wh_vs_that_with_gap_long_distance,0.061
