,best
adjunct_island,0.678
adv_order,0.878
anaphor_gender_agreement,0.92
anaphor_number_agreement,0.864
center_embedding_double_1,0.679
center_embedding_double_2,0.687
center_embedding_single_1,0.846
center_embedding_single_2,0.594
complex_np_island,0.359
coordinate_structure_constrain_object_extraction,0.824
determiner_noun_agreement_1,0.904
determiner_noun_agreement_2,0.9
determiner_noun_agreement_adj_1,0.888
determiner_noun_agreement_adj_2,0.879
ellipsis,0.742
green_ideas,0.639
intransitive,0.513
left_branch_island_simple_question,0.433
matrix_question_npi_licensor_present,0.181
npi_present,0.666
only_npi_licensor_present,0.801
only_npi_scope,0.74
pp_order,0.769
principle_A_c_command,0.556
principle_A_domain_1,0.994
principle_A_domain_2,0.852
principle_A_domain_3,0.532
recursion_intensifier_adj_long,0.793
recursion_intensifier_adj_medium,0.896
recursion_intensifier_adj_short,0.915
recursion_intensifier_adv_long,0.478
recursion_intensifier_adv_medium,0.308
recursion_intensifier_adv_short,0.295
recursion_poss_ditransitive_long,0.595
recursion_poss_ditransitive_medium,0.657
recursion_poss_ditransitive_short,0.68
recursion_poss_transitive_long,0.888
recursion_poss_transitive_medium,0.951
recursion_poss_transitive_short,0.993
recursion_pp_is_long,0.571
recursion_pp_is_medium,0.654
recursion_pp_is_short,0.802
recursion_pp_verb_long,0.959
recursion_pp_verb_medium,0.973
recursion_pp_verb_short,0.932
sentential_negation_npi_licensor_present,0.338
sentential_negation_npi_scope,0.424
subj_aux_agreement_question_vary_aux,0.448
subj_aux_agreement_question_vary_subj,0.486
subj_aux_vary_subj,0.901
subj_aux_vary_verb,0.918
subj_aux_vary_verb_pp,0.648
subj_aux_vary_verb_rc,0.685
subj_verb_vary_verb,0.804
svo_vos,0.748
swapped_ditransitive_1,0.535
swapped_ditransitive_2,0.73
transitive,0.511
wh_island,0.783
wh_questions_object_gap,0.63
wh_questions_object_gap_long_distance,0.553
wh_questions_subject_gap,0.893
wh_questions_subject_gap_long_distance,0.882
wh_vs_that_no_gap,0.986
wh_vs_that_no_gap_long_distance,0.992
wh_vs_that_with_gap,0.058
wh_vs_that_with_gap_long_distance,0.035
