,best
adjunct_island,0.754
anaphor_gender_agreement,0.739
anaphor_number_agreement,0.89
animate_subject_passive,0.709
animate_subject_trans,0.728
causative,0.701
complex_NP_island,0.479
coordinate_structure_constraint_complex_left_branch,0.27
coordinate_structure_constraint_object_extraction,0.658
determiner_noun_agreement_1,0.893
determiner_noun_agreement_2,0.958
determiner_noun_agreement_irregular_1,0.732
determiner_noun_agreement_irregular_2,0.892
determiner_noun_agreement_with_adj_2,0.913
determiner_noun_agreement_with_adj_irregular_1,0.764
determiner_noun_agreement_with_adj_irregular_2,0.804
determiner_noun_agreement_with_adjective_1,0.839
distractor_agreement_relational_noun,0.552
distractor_agreement_relative_clause,0.444
drop_argument,0.536
ellipsis_n_bar_1,0.647
ellipsis_n_bar_2,0.739
existential_there_object_raising,0.617
existential_there_quantifiers_1,0.954
existential_there_quantifiers_2,0.599
existential_there_subject_raising,0.76
expletive_it_object_raising,0.71
inchoative,0.666
intransitive,0.564
irregular_past_participle_adjectives,0.903
irregular_past_participle_verbs,0.872
irregular_plural_subject_verb_agreement_1,0.821
irregular_plural_subject_verb_agreement_2,0.833
left_branch_island_echo_question,0.557
left_branch_island_simple_question,0.382
matrix_question_npi_licensor_present,0.253
npi_present_1,0.181
npi_present_2,0.406
only_npi_licensor_present,0.424
only_npi_scope,0.598
passive_1,0.663
passive_2,0.634
principle_A_c_command,0.58
principle_A_case_1,1.0
principle_A_case_2,0.878
principle_A_domain_1,0.989
principle_A_domain_2,0.765
principle_A_domain_3,0.559
principle_A_reconstruction,0.347
regular_plural_subject_verb_agreement_1,0.815
regular_plural_subject_verb_agreement_2,0.838
sentential_negation_npi_licensor_present,0.928
sentential_negation_npi_scope,0.256
sentential_subject_island,0.368
superlative_quantifiers_1,0.762
superlative_quantifiers_2,0.936
tough_vs_raising_1,0.427
tough_vs_raising_2,0.772
transitive,0.709
wh_island,0.639
wh_questions_object_gap,0.666
wh_questions_subject_gap,0.857
wh_questions_subject_gap_long_distance,0.951
wh_vs_that_no_gap,0.94
wh_vs_that_no_gap_long_distance,0.982
wh_vs_that_with_gap,0.349
wh_vs_that_with_gap_long_distance,0.142
