,best
adjunct_island,0.512
anaphor_gender_agreement,0.39
anaphor_number_agreement,0.699
animate_subject_passive,0.607
animate_subject_trans,0.62
causative,0.59
complex_NP_island,0.466
coordinate_structure_constraint_complex_left_branch,0.239
coordinate_structure_constraint_object_extraction,0.678
determiner_noun_agreement_1,0.842
determiner_noun_agreement_2,0.85
determiner_noun_agreement_irregular_1,0.723
determiner_noun_agreement_irregular_2,0.814
determiner_noun_agreement_with_adj_2,0.714
determiner_noun_agreement_with_adj_irregular_1,0.636
determiner_noun_agreement_with_adj_irregular_2,0.7
determiner_noun_agreement_with_adjective_1,0.779
distractor_agreement_relational_noun,0.514
distractor_agreement_relative_clause,0.367
drop_argument,0.432
ellipsis_n_bar_1,0.439
ellipsis_n_bar_2,0.826
existential_there_object_raising,0.635
existential_there_quantifiers_1,0.923
existential_there_quantifiers_2,0.124
existential_there_subject_raising,0.677
expletive_it_object_raising,0.631
inchoative,0.628
intransitive,0.551
irregular_past_participle_adjectives,0.564
irregular_past_participle_verbs,0.825
irregular_plural_subject_verb_agreement_1,0.694
irregular_plural_subject_verb_agreement_2,0.744
left_branch_island_echo_question,0.618
left_branch_island_simple_question,0.255
matrix_question_npi_licensor_present,0.022
npi_present_1,0.475
npi_present_2,0.56
only_npi_licensor_present,0.956
only_npi_scope,0.591
passive_1,0.617
passive_2,0.575
principle_A_c_command,0.497
principle_A_case_1,1.0
principle_A_case_2,0.661
principle_A_domain_1,0.972
principle_A_domain_2,0.703
principle_A_domain_3,0.508
principle_A_reconstruction,0.368
regular_plural_subject_verb_agreement_1,0.716
regular_plural_subject_verb_agreement_2,0.701
sentential_negation_npi_licensor_present,0.983
sentential_negation_npi_scope,0.212
sentential_subject_island,0.417
superlative_quantifiers_1,0.5
superlative_quantifiers_2,0.487
tough_vs_raising_1,0.516
tough_vs_raising_2,0.515
transitive,0.623
wh_island,0.512
wh_questions_object_gap,0.528
wh_questions_subject_gap,0.82
wh_questions_subject_gap_long_distance,0.865
wh_vs_that_no_gap,0.947
wh_vs_that_no_gap_long_distance,0.939
wh_vs_that_with_gap,0.1
wh_vs_that_with_gap_long_distance,0.051
