,best
adjunct_island,0.852
anaphor_gender_agreement,0.955
anaphor_number_agreement,0.994
animate_subject_passive,0.749
animate_subject_trans,0.788
causative,0.794
complex_NP_island,0.551
coordinate_structure_constraint_complex_left_branch,0.572
coordinate_structure_constraint_object_extraction,0.872
determiner_noun_agreement_1,0.973
determiner_noun_agreement_2,0.99
determiner_noun_agreement_irregular_1,0.851
determiner_noun_agreement_irregular_2,0.972
determiner_noun_agreement_with_adj_2,0.958
determiner_noun_agreement_with_adj_irregular_1,0.888
determiner_noun_agreement_with_adj_irregular_2,0.944
determiner_noun_agreement_with_adjective_1,0.936
distractor_agreement_relational_noun,0.855
distractor_agreement_relative_clause,0.763
drop_argument,0.624
ellipsis_n_bar_1,0.842
ellipsis_n_bar_2,0.915
existential_there_object_raising,0.763
existential_there_quantifiers_1,0.97
existential_there_quantifiers_2,0.657
existential_there_subject_raising,0.877
expletive_it_object_raising,0.802
inchoative,0.733
intransitive,0.688
irregular_past_participle_adjectives,0.947
irregular_past_participle_verbs,0.913
irregular_plural_subject_verb_agreement_1,0.896
irregular_plural_subject_verb_agreement_2,0.863
left_branch_island_echo_question,0.431
left_branch_island_simple_question,0.577
matrix_question_npi_licensor_present,0.449
npi_present_1,0.574
npi_present_2,0.605
only_npi_licensor_present,0.771
only_npi_scope,0.614
passive_1,0.848
passive_2,0.835
principle_A_c_command,0.673
principle_A_case_1,1.0
principle_A_case_2,0.94
principle_A_domain_1,0.992
principle_A_domain_2,0.836
principle_A_domain_3,0.631
principle_A_reconstruction,0.417
regular_plural_subject_verb_agreement_1,0.895
regular_plural_subject_verb_agreement_2,0.955
sentential_negation_npi_licensor_present,0.983
sentential_negation_npi_scope,0.781
sentential_subject_island,0.329
superlative_quantifiers_1,0.734
superlative_quantifiers_2,0.851
tough_vs_raising_1,0.674
tough_vs_raising_2,0.917
transitive,0.84
wh_island,0.782
wh_questions_object_gap,0.806
wh_questions_subject_gap,0.956
wh_questions_subject_gap_long_distance,0.888
wh_vs_that_no_gap,0.978
wh_vs_that_no_gap_long_distance,0.973
wh_vs_that_with_gap,0.601
wh_vs_that_with_gap_long_distance,0.471
