sentence1	PPL1	Sentence2	PPL2	Correct
Lawrence reports that Peter's wife introduces himself to others.	5.067722320556641	Lawrence reports that Peter's wife introduces herself to others.	4.920024394989014	correct
The female president reports that Ruth's brother introduces herself to others.	5.310662269592285	The female president reports that Ruth's brother introduces himself to others.	5.417046546936035	incorrect
Ann reports that the male professor who trusts Ann teaches herself.	7.381354331970215	Ann reports that the male professor who trusts Ann teaches himself.	7.346160411834717	correct
Anthony shows that Charlie's mother helps himself.	5.782048225402832	Anthony shows that Charlie's mother helps herself.	5.582005977630615	correct
The lady shows that Helen's husband helps herself.	6.553946495056152	The lady shows that Helen's husband helps himself.	6.509059906005859	correct
The king writes that Brian's daughter hides himself from the enemy.	5.551673889160156	The king writes that Brian's daughter hides herself from the enemy.	5.311559200286865	correct
The daughter writes that Anna's brother hides herself from the enemy.	5.350398063659668	The daughter writes that Anna's brother hides himself from the enemy.	5.372688293457031	incorrect
The king reports that William's mother tells himself the truth.	5.478655815124512	The king reports that William's mother tells herself the truth.	5.405897617340088	correct
Sarah reports that Victoria's uncle tells herself the truth.	5.186333656311035	Sarah reports that Victoria's uncle tells himself the truth.	5.249520301818848	incorrect
Sarah reports that the boy who tells Sarah the story helps herself.	4.551352024078369	Sarah reports that the boy who tells Sarah the story helps himself.	4.629980564117432	incorrect
The king reports that the daughter who tells the king the story helps himself.	5.168157577514648	The king reports that the daughter who tells the king the story helps herself.	5.119914531707764	correct
The male president learns that Jeff's wife trusts himself.	6.9401092529296875	The male president learns that Jeff's wife trusts herself.	6.829437255859375	correct
The female player learns that Mary's uncle trusts herself.	6.5843963623046875	The female player learns that Mary's uncle trusts himself.	6.591144561767578	incorrect
The female player learns that the man who trusts the female player hits herself.	4.763768672943115	The female player learns that the man who trusts the female player hits himself.	4.710143089294434	correct
The male president learns that the princess who trusts the male president hits himself.	5.801459789276123	The male president learns that the princess who trusts the male president hits herself.	5.75913143157959	correct
Louis hears that Alexander's sister enjoys himself in the park.	5.434182643890381	Louis hears that Alexander's sister enjoys herself in the park.	5.295190811157227	correct
The lady hears that Maria's husband enjoys herself in the park.	5.368966579437256	The lady hears that Maria's husband enjoys himself in the park.	5.440967559814453	incorrect
The lady hears that the male president who likes the lady introduces herself to others.	5.536196231842041	The lady hears that the male president who likes the lady introduces himself to others.	5.616847515106201	incorrect
Louis hears that the mother who likes Louis introduces himself to others.	4.939115047454834	Louis hears that the mother who likes Louis introduces herself to others.	4.961460113525391	incorrect
