sentence1	PPL1	Sentence2	PPL2	Correct
Who would Maria wanna go?	6.230252265930176	Why would Maria wanna go?	4.719829082489014	correct
Who does the same student wanna watch the video?	5.323442459106445	Where does the same student wanna watch the video?	4.849630355834961	correct
Who did the famous president wanna lead the group?	5.386197090148926	Why did the famous president wanna lead the group?	5.249425411224365	correct
Who does Ross wanna arrive early?	6.0470099449157715	Why does Ross wanna arrive early?	5.734224319458008	correct
Who did Maria wanna perform the music?	5.238059043884277	Why did Maria wanna perform the music?	5.052598476409912	correct
Who would the French teacher wanna believe the news?	5.757609844207764	When would the French teacher wanna believe the news?	6.014739990234375	incorrect
Who does Maria wanna rest?	6.1694159507751465	Why does Maria wanna rest?	5.279244899749756	correct
Who would James wanna swim?	7.63442325592041	Why would James wanna swim?	6.136088848114014	correct
Who did the professional man wanna see the film?	5.049609184265137	Where did the professional man wanna see the film?	4.989146709442139	correct
Who does the special leader wanna lead the group?	4.901571750640869	When does the special leader wanna lead the group?	4.985132694244385	incorrect
Who did Joe wanna swim?	6.8559722900390625	Where did Joe wanna swim?	6.473330974578857	correct
Who did John wanna rest?	6.281077861785889	Where did John wanna rest?	5.79486083984375	correct
Who will Ross wanna travel?	7.667304992675781	Where will Ross wanna travel?	6.849357604980469	correct
Who would the famous friend wanna trust the friend?	6.511992931365967	Why would the famous friend wanna trust the friend?	6.035074710845947	correct
Who did Dennis wanna rest?	7.1274733543396	Where did Dennis wanna rest?	6.2434306144714355	correct
Who did the young doctor wanna save money?	5.514531135559082	Why did the young doctor wanna save money?	5.311245918273926	correct
Who will the happy officer wanna serve the community?	6.432516574859619	When will the happy officer wanna serve the community?	6.347556114196777	correct
Who will Oliver wanna walk the dog?	6.47918176651001	Where will Oliver wanna walk the dog?	6.295035362243652	correct
Who will the poor woman wanna find the way?	4.9915313720703125	When will the poor woman wanna find the way?	4.859157085418701	correct
Who did Kelly wanna wait?	6.208774089813232	Where did Kelly wanna wait?	5.834258556365967	correct
Who does Michael wanna travel?	6.77101469039917	How does Michael wanna travel?	5.717259883880615	correct
Who will Dan wanna perform the music?	6.447586536407471	Where will Dan wanna perform the music?	6.328458786010742	correct
Who did the professional player wanna reach out to the man?	5.762091159820557	When did the professional player wanna reach out to the man?	6.141204357147217	incorrect
Who did Alice wanna travel?	7.288304328918457	Where did Alice wanna travel?	6.4399566650390625	correct
Who will Ross wanna wait?	7.21355676651001	Where will Ross wanna wait?	6.6700663566589355	correct
What would Andy wanna leave the gift at home?	5.7144012451171875	Where would Andy wanna leave the gift at home?	5.67244291305542	correct
Who would Alexander wanna rest?	7.449763774871826	Where would Alexander wanna rest?	6.571052551269531	correct
Who will the happy parent wanna help the child?	5.557372093200684	Where will the happy parent wanna help the child?	5.165655612945557	correct
Who would Brian wanna go?	5.717776298522949	When would Brian wanna go?	6.096959590911865	incorrect
Who would the active team wanna attack the city?	5.89797306060791	When would the active team wanna attack the city?	6.23861026763916	incorrect
Who will the Australian student wanna trust the assistant?	7.380301475524902	When will the Australian student wanna trust the assistant?	7.324135780334473	correct
Who did the rich parent wanna help the student?	5.86926794052124	Why did the rich parent wanna help the student?	5.578537940979004	correct
Who did Philip wanna go?	5.329238414764404	Why did Philip wanna go?	4.674228668212891	correct
Who will the young man wanna love the family?	5.442605972290039	When will the young man wanna love the family?	5.143468856811523	correct
Who will the special minister wanna lead the group?	5.807826042175293	When will the special minister wanna lead the group?	5.394517421722412	correct
Who would the friendly soldier wanna serve the community?	6.108592510223389	When would the friendly soldier wanna serve the community?	6.252041339874268	incorrect
Who does Andy wanna perform the music?	5.574254989624023	Why does Andy wanna perform the music?	5.0640740394592285	correct
Who would the friendly soldier wanna serve the government?	5.766171455383301	When would the friendly soldier wanna serve the government?	5.84103536605835	incorrect
Who would Helen wanna arrive?	7.388272285461426	How would Helen wanna arrive?	6.790963649749756	correct
Who would Oliver wanna rest?	6.972011089324951	How would Oliver wanna rest?	6.716412544250488	correct
Who does Tony wanna run the team?	4.942933082580566	Why does Tony wanna run the team?	4.525498390197754	correct
Who will the young father wanna tell him the story?	5.073055744171143	Where will the young father wanna tell him the story?	4.660546779632568	correct
Who would Philip wanna travel?	7.246933937072754	Why would Philip wanna travel?	6.2666754722595215	correct
Who will the Indian army wanna attack the enemy?	5.19319486618042	Where will the Indian army wanna attack the enemy?	4.637301921844482	correct
Who did the poor soldier wanna save money?	5.2563982009887695	When did the poor soldier wanna save money?	5.4179840087890625	incorrect
Who does Gary wanna swim?	6.863958835601807	Why does Gary wanna swim?	5.848964214324951	correct
Who will the important leader wanna invite the friend?	6.772373199462891	When will the important leader wanna invite the friend?	6.505306243896484	correct
Who will the modern player wanna follow the plan?	6.306013584136963	When will the modern player wanna follow the plan?	6.423716068267822	incorrect
Who would the modern teacher wanna save energy?	6.713075637817383	When would the modern teacher wanna save energy?	7.034272193908691	incorrect
Who will the Indian teacher wanna tell him the story?	5.460166931152344	Where will the Indian teacher wanna tell him the story?	5.072315692901611	correct
Who will the important teacher wanna tell him the truth?	5.315280914306641	When will the important teacher wanna tell him the truth?	4.985742092132568	correct
Who does the Australian member wanna join the party?	5.429535865783691	When does the Australian member wanna join the party?	5.53454065322876	incorrect
Who does the Canadian leader wanna meet the committee?	5.666377544403076	Where does the Canadian leader wanna meet the committee?	5.162489414215088	correct
Who does the little man wanna love the family?	4.765771865844727	When does the little man wanna love the family?	5.243896484375	incorrect
Who will the player wanna join the team?	5.206239223480225	When will the player wanna join the team?	4.7362284660339355	correct
Who did the responsible officer wanna serve the nation?	5.907726764678955	Where did the responsible officer wanna serve the nation?	6.000307083129883	incorrect
Who did Bill wanna work on the project?	5.025781631469727	Why did Bill wanna work on the project?	4.384624004364014	correct
Who would the professional teacher wanna help the student?	5.877481937408447	Why would the professional teacher wanna help the student?	5.230133056640625	correct
Who did the rich player wanna join the team?	5.21491003036499	Why did the rich player wanna join the team?	5.010563850402832	correct
Who does the poor woman wanna watch the video?	4.45361328125	Where does the poor woman wanna watch the video?	4.4395012855529785	correct
Who will Roger wanna arrive?	7.533331394195557	How will Roger wanna arrive?	7.096752166748047	correct
Who did the famous man wanna see the doctor?	4.766404151916504	Why did the famous man wanna see the doctor?	4.508448123931885	correct
What does Mary wanna leave the gift at home?	4.864216327667236	Why does Mary wanna leave the gift at home?	4.525832176208496	correct
What would Bill wanna leave the gift at home?	5.895366191864014	Why would Bill wanna leave the gift at home?	5.108341217041016	correct
