sentence1	PPL1	Sentence2	PPL2	Correct
Lawrence reports that Peter's wife introduces himself to others.	5.3078932762146	Lawrence reports that Peter's wife introduces herself to others.	5.21414041519165	correct
The female president reports that Ruth's brother introduces herself to others.	5.679435729980469	The female president reports that Ruth's brother introduces himself to others.	5.824104309082031	incorrect
Ann reports that the male professor who trusts Ann teaches herself.	6.209329605102539	Ann reports that the male professor who trusts Ann teaches himself.	6.178220748901367	correct
Anthony shows that Charlie's mother helps himself.	5.645669460296631	Anthony shows that Charlie's mother helps herself.	5.58042573928833	correct
The lady shows that Helen's husband helps herself.	6.329577922821045	The lady shows that Helen's husband helps himself.	6.492615222930908	incorrect
The king writes that Brian's daughter hides himself from the enemy.	5.773681640625	The king writes that Brian's daughter hides herself from the enemy.	5.68201208114624	correct
The daughter writes that Anna's brother hides herself from the enemy.	5.787195205688477	The daughter writes that Anna's brother hides himself from the enemy.	5.844769477844238	incorrect
The king reports that William's mother tells himself the truth.	5.338763236999512	The king reports that William's mother tells herself the truth.	5.23028039932251	correct
Sarah reports that Victoria's uncle tells herself the truth.	6.411933422088623	Sarah reports that Victoria's uncle tells himself the truth.	6.572788715362549	incorrect
Sarah reports that the boy who tells Sarah the story helps herself.	5.362038612365723	Sarah reports that the boy who tells Sarah the story helps himself.	5.4428253173828125	incorrect
The king reports that the daughter who tells the king the story helps himself.	4.884303569793701	The king reports that the daughter who tells the king the story helps herself.	4.7522430419921875	correct
The male president learns that Jeff's wife trusts himself.	6.28607177734375	The male president learns that Jeff's wife trusts herself.	6.23419189453125	correct
The female player learns that Mary's uncle trusts herself.	5.7036871910095215	The female player learns that Mary's uncle trusts himself.	5.7670769691467285	incorrect
The female player learns that the man who trusts the female player hits herself.	4.687218189239502	The female player learns that the man who trusts the female player hits himself.	4.662713050842285	correct
The male president learns that the princess who trusts the male president hits himself.	5.704220771789551	The male president learns that the princess who trusts the male president hits herself.	5.720724582672119	incorrect
Louis hears that Alexander's sister enjoys himself in the park.	5.872433185577393	Louis hears that Alexander's sister enjoys herself in the park.	5.85817813873291	correct
The lady hears that Maria's husband enjoys herself in the park.	5.6626787185668945	The lady hears that Maria's husband enjoys himself in the park.	5.681693077087402	incorrect
The lady hears that the male president who likes the lady introduces herself to others.	5.467226505279541	The lady hears that the male president who likes the lady introduces himself to others.	5.482448577880859	incorrect
Louis hears that the mother who likes Louis introduces himself to others.	5.799059867858887	Louis hears that the mother who likes Louis introduces herself to others.	5.760416030883789	correct
The princess believes that the male player who joins the princess enjoys herself in the park.	5.422353744506836	The princess believes that the male player who joins the princess enjoys himself in the park.	5.468225479125977	incorrect
Ryan believes that the female professor who joins Ryan enjoys himself in the park.	6.143760681152344	Ryan believes that the female professor who joins Ryan enjoys herself in the park.	6.112612724304199	correct
The brother writes that Thomas's sister supports himself.	6.42108154296875	The brother writes that Thomas's sister supports herself.	6.483593463897705	incorrect
Elizabeth writes that Helen's brother supports herself.	5.517436981201172	Elizabeth writes that Helen's brother supports himself.	5.654219150543213	incorrect
Elizabeth writes that the male player who supports Elizabeth hides herself from the enemy.	5.1666741371154785	Elizabeth writes that the male player who supports Elizabeth hides himself from the enemy.	5.2684173583984375	incorrect
The brother writes that the female president who supports the brother hides himself from the enemy.	5.5376176834106445	The brother writes that the female president who supports the brother hides herself from the enemy.	5.581402778625488	incorrect
The boy feels that Tony's sister helps himself.	6.008035659790039	The boy feels that Tony's sister helps herself.	5.967524528503418	correct
Mary feels that Kelly's son helps herself.	6.121258735656738	Mary feels that Kelly's son helps himself.	6.218386650085449	incorrect
Alexander claims that Martin's mother attacks himself.	6.201772212982178	Alexander claims that Martin's mother attacks herself.	6.15518045425415	correct
The female professor claims that Jane's husband attacks herself.	6.294978618621826	The female professor claims that Jane's husband attacks himself.	6.374471187591553	incorrect
The female professor claims that the brother who attacks the female professor asks herself a question.	5.2208428382873535	The female professor claims that the brother who attacks the female professor asks himself a question.	5.210003852844238	correct
Alexander claims that the mother who attacks Alexander asks himself a question.	5.77855110168457	Alexander claims that the mother who attacks Alexander asks herself a question.	5.806079864501953	incorrect
Maria explains that the male president who leads Maria introduces herself to others.	5.9547905921936035	Maria explains that the male president who leads Maria introduces himself to others.	6.123028755187988	incorrect
Anthony explains that the female player who leads Anthony introduces himself to others.	5.300101280212402	Anthony explains that the female player who leads Anthony introduces herself to others.	5.312817573547363	incorrect
The brother explains that Martin's daughter enjoys himself in the park.	5.747038841247559	The brother explains that Martin's daughter enjoys herself in the park.	5.657264232635498	correct
Ann explains that Helen's uncle enjoys herself in the park.	5.5585432052612305	Ann explains that Helen's uncle enjoys himself in the park.	5.616851806640625	incorrect
Ann explains that the male professor who likes Ann talks to herself.	6.138841152191162	Ann explains that the male professor who likes Ann talks to himself.	6.0985846519470215	correct
The brother explains that the daughter who likes the brother talks to himself.	5.414486408233643	The brother explains that the daughter who likes the brother talks to herself.	5.431894302368164	incorrect
Nick says that Brian's daughter supports himself.	6.2501397132873535	Nick says that Brian's daughter supports herself.	6.232466697692871	correct
