,best
adjunct_island,0.595
anaphor_gender_agreement,0.644
anaphor_number_agreement,0.863
animate_subject_passive,0.736
animate_subject_trans,0.581
causative,0.684
complex_NP_island,0.402
coordinate_structure_constraint_complex_left_branch,0.225
coordinate_structure_constraint_object_extraction,0.44
determiner_noun_agreement_1,0.845
determiner_noun_agreement_2,0.888
determiner_noun_agreement_irregular_1,0.723
determiner_noun_agreement_irregular_2,0.859
determiner_noun_agreement_with_adj_2,0.837
determiner_noun_agreement_with_adj_irregular_1,0.758
determiner_noun_agreement_with_adj_irregular_2,0.794
determiner_noun_agreement_with_adjective_1,0.775
distractor_agreement_relational_noun,0.325
distractor_agreement_relative_clause,0.292
drop_argument,0.496
ellipsis_n_bar_1,0.498
ellipsis_n_bar_2,0.751
existential_there_object_raising,0.7
existential_there_quantifiers_1,0.951
existential_there_quantifiers_2,0.616
existential_there_subject_raising,0.749
expletive_it_object_raising,0.699
inchoative,0.613
intransitive,0.547
irregular_past_participle_adjectives,0.883
irregular_past_participle_verbs,0.837
irregular_plural_subject_verb_agreement_1,0.741
irregular_plural_subject_verb_agreement_2,0.748
left_branch_island_echo_question,0.417
left_branch_island_simple_question,0.269
matrix_question_npi_licensor_present,0.286
npi_present_1,0.186
npi_present_2,0.376
only_npi_licensor_present,0.522
only_npi_scope,0.534
passive_1,0.682
passive_2,0.652
principle_A_c_command,0.457
principle_A_case_1,1.0
principle_A_case_2,0.696
principle_A_domain_1,0.973
principle_A_domain_2,0.642
principle_A_domain_3,0.552
principle_A_reconstruction,0.417
regular_plural_subject_verb_agreement_1,0.744
regular_plural_subject_verb_agreement_2,0.711
sentential_negation_npi_licensor_present,0.975
sentential_negation_npi_scope,0.548
sentential_subject_island,0.329
superlative_quantifiers_1,0.744
superlative_quantifiers_2,0.666
tough_vs_raising_1,0.414
tough_vs_raising_2,0.695
transitive,0.705
wh_island,0.481
wh_questions_object_gap,0.577
wh_questions_subject_gap,0.838
wh_questions_subject_gap_long_distance,0.974
wh_vs_that_no_gap,0.93
wh_vs_that_no_gap_long_distance,0.971
wh_vs_that_with_gap,0.184
wh_vs_that_with_gap_long_distance,0.086
