,best
adjunct_island,0.586
anaphor_gender_agreement,0.467
anaphor_number_agreement,0.743
animate_subject_passive,0.566
animate_subject_trans,0.607
causative,0.622
complex_NP_island,0.474
coordinate_structure_constraint_complex_left_branch,0.264
coordinate_structure_constraint_object_extraction,0.539
determiner_noun_agreement_1,0.821
determiner_noun_agreement_2,0.848
determiner_noun_agreement_irregular_1,0.711
determiner_noun_agreement_irregular_2,0.827
determiner_noun_agreement_with_adj_2,0.735
determiner_noun_agreement_with_adj_irregular_1,0.633
determiner_noun_agreement_with_adj_irregular_2,0.718
determiner_noun_agreement_with_adjective_1,0.725
distractor_agreement_relational_noun,0.525
distractor_agreement_relative_clause,0.363
drop_argument,0.435
ellipsis_n_bar_1,0.429
ellipsis_n_bar_2,0.843
existential_there_object_raising,0.678
existential_there_quantifiers_1,0.929
existential_there_quantifiers_2,0.154
existential_there_subject_raising,0.72
expletive_it_object_raising,0.628
inchoative,0.575
intransitive,0.534
irregular_past_participle_adjectives,0.559
irregular_past_participle_verbs,0.862
irregular_plural_subject_verb_agreement_1,0.674
irregular_plural_subject_verb_agreement_2,0.72
left_branch_island_echo_question,0.608
left_branch_island_simple_question,0.26
matrix_question_npi_licensor_present,0.014
npi_present_1,0.359
npi_present_2,0.576
only_npi_licensor_present,0.857
only_npi_scope,0.766
passive_1,0.655
passive_2,0.611
principle_A_c_command,0.504
principle_A_case_1,1.0
principle_A_case_2,0.69
principle_A_domain_1,0.963
principle_A_domain_2,0.7
principle_A_domain_3,0.508
principle_A_reconstruction,0.263
regular_plural_subject_verb_agreement_1,0.731
regular_plural_subject_verb_agreement_2,0.661
sentential_negation_npi_licensor_present,0.991
sentential_negation_npi_scope,0.307
sentential_subject_island,0.304
superlative_quantifiers_1,0.641
superlative_quantifiers_2,0.347
tough_vs_raising_1,0.532
tough_vs_raising_2,0.508
transitive,0.634
wh_island,0.385
wh_questions_object_gap,0.586
wh_questions_subject_gap,0.863
wh_questions_subject_gap_long_distance,0.887
wh_vs_that_no_gap,0.966
wh_vs_that_no_gap_long_distance,0.966
wh_vs_that_with_gap,0.099
wh_vs_that_with_gap_long_distance,0.058
