,best
adjunct_island,0.809
anaphor_gender_agreement,0.854
anaphor_number_agreement,0.982
animate_subject_passive,0.738
animate_subject_trans,0.819
causative,0.755
complex_NP_island,0.454
coordinate_structure_constraint_complex_left_branch,0.404
coordinate_structure_constraint_object_extraction,0.767
determiner_noun_agreement_1,0.947
determiner_noun_agreement_2,0.981
determiner_noun_agreement_irregular_1,0.835
determiner_noun_agreement_irregular_2,0.903
determiner_noun_agreement_with_adj_2,0.941
determiner_noun_agreement_with_adj_irregular_1,0.819
determiner_noun_agreement_with_adj_irregular_2,0.881
determiner_noun_agreement_with_adjective_1,0.903
distractor_agreement_relational_noun,0.692
distractor_agreement_relative_clause,0.582
drop_argument,0.545
ellipsis_n_bar_1,0.763
ellipsis_n_bar_2,0.881
existential_there_object_raising,0.661
existential_there_quantifiers_1,0.985
existential_there_quantifiers_2,0.705
existential_there_subject_raising,0.874
expletive_it_object_raising,0.706
inchoative,0.687
intransitive,0.626
irregular_past_participle_adjectives,0.908
irregular_past_participle_verbs,0.827
irregular_plural_subject_verb_agreement_1,0.851
irregular_plural_subject_verb_agreement_2,0.883
left_branch_island_echo_question,0.564
left_branch_island_simple_question,0.538
matrix_question_npi_licensor_present,0.282
npi_present_1,0.275
npi_present_2,0.465
only_npi_licensor_present,0.216
only_npi_scope,0.394
passive_1,0.695
passive_2,0.681
principle_A_c_command,0.523
principle_A_case_1,1.0
principle_A_case_2,0.909
principle_A_domain_1,0.988
principle_A_domain_2,0.875
principle_A_domain_3,0.584
principle_A_reconstruction,0.247
regular_plural_subject_verb_agreement_1,0.859
regular_plural_subject_verb_agreement_2,0.863
sentential_negation_npi_licensor_present,0.988
sentential_negation_npi_scope,0.441
sentential_subject_island,0.394
superlative_quantifiers_1,0.847
superlative_quantifiers_2,0.984
tough_vs_raising_1,0.495
tough_vs_raising_2,0.841
transitive,0.758
wh_island,0.575
wh_questions_object_gap,0.757
wh_questions_subject_gap,0.933
wh_questions_subject_gap_long_distance,0.883
wh_vs_that_no_gap,0.974
wh_vs_that_no_gap_long_distance,0.971
wh_vs_that_with_gap,0.496
wh_vs_that_with_gap_long_distance,0.232
