,best
adjunct_island,0.837
anaphor_gender_agreement,0.764
anaphor_number_agreement,0.953
animate_subject_passive,0.596
animate_subject_trans,0.689
causative,0.691
complex_NP_island,0.485
coordinate_structure_constraint_complex_left_branch,0.209
coordinate_structure_constraint_object_extraction,0.642
determiner_noun_agreement_1,0.939
determiner_noun_agreement_2,0.935
determiner_noun_agreement_irregular_1,0.788
determiner_noun_agreement_irregular_2,0.937
determiner_noun_agreement_with_adj_2,0.864
determiner_noun_agreement_with_adj_irregular_1,0.73
determiner_noun_agreement_with_adj_irregular_2,0.845
determiner_noun_agreement_with_adjective_1,0.872
distractor_agreement_relational_noun,0.721
distractor_agreement_relative_clause,0.592
drop_argument,0.443
ellipsis_n_bar_1,0.73
ellipsis_n_bar_2,0.886
existential_there_object_raising,0.64
existential_there_quantifiers_1,0.965
existential_there_quantifiers_2,0.317
existential_there_subject_raising,0.738
expletive_it_object_raising,0.69
inchoative,0.689
intransitive,0.595
irregular_past_participle_adjectives,0.696
irregular_past_participle_verbs,0.911
irregular_plural_subject_verb_agreement_1,0.725
irregular_plural_subject_verb_agreement_2,0.843
left_branch_island_echo_question,0.442
left_branch_island_simple_question,0.253
matrix_question_npi_licensor_present,0.038
npi_present_1,0.473
npi_present_2,0.467
only_npi_licensor_present,0.996
only_npi_scope,0.759
passive_1,0.608
passive_2,0.575
principle_A_c_command,0.636
principle_A_case_1,0.997
principle_A_case_2,0.891
principle_A_domain_1,0.991
principle_A_domain_2,0.81
principle_A_domain_3,0.579
principle_A_reconstruction,0.588
regular_plural_subject_verb_agreement_1,0.836
regular_plural_subject_verb_agreement_2,0.801
sentential_negation_npi_licensor_present,0.869
sentential_negation_npi_scope,0.291
sentential_subject_island,0.418
superlative_quantifiers_1,0.659
superlative_quantifiers_2,0.915
tough_vs_raising_1,0.527
tough_vs_raising_2,0.653
transitive,0.691
wh_island,0.639
wh_questions_object_gap,0.703
wh_questions_subject_gap,0.866
wh_questions_subject_gap_long_distance,0.865
wh_vs_that_no_gap,0.958
wh_vs_that_no_gap_long_distance,0.979
wh_vs_that_with_gap,0.398
wh_vs_that_with_gap_long_distance,0.137
