,best
adjunct_island,0.422
adv_order,0.745
anaphor_gender_agreement,0.49
anaphor_number_agreement,0.55
center_embedding_double_1,0.692
center_embedding_double_2,0.689
center_embedding_single_1,0.721
center_embedding_single_2,0.681
complex_np_island,0.457
coordinate_structure_constrain_object_extraction,0.806
determiner_noun_agreement_1,0.684
determiner_noun_agreement_2,0.693
determiner_noun_agreement_adj_1,0.507
determiner_noun_agreement_adj_2,0.559
ellipsis,0.402
green_ideas,0.511
intransitive,0.446
left_branch_island_simple_question,0.432
matrix_question_npi_licensor_present,0.034
npi_present,0.616
only_npi_licensor_present,0.202
only_npi_scope,0.475
pp_order,0.595
principle_A_c_command,0.552
principle_A_domain_1,0.889
principle_A_domain_2,0.507
principle_A_domain_3,0.505
recursion_intensifier_adj_long,0.998
recursion_intensifier_adj_medium,0.991
recursion_intensifier_adj_short,0.981
recursion_intensifier_adv_long,0.01
recursion_intensifier_adv_medium,0.007
recursion_intensifier_adv_short,0.013
recursion_poss_ditransitive_long,0.379
recursion_poss_ditransitive_medium,0.361
recursion_poss_ditransitive_short,0.412
recursion_poss_transitive_long,0.693
recursion_poss_transitive_medium,0.721
recursion_poss_transitive_short,0.68
recursion_pp_is_long,0.309
recursion_pp_is_medium,0.211
recursion_pp_is_short,0.362
recursion_pp_verb_long,0.547
recursion_pp_verb_medium,0.54
recursion_pp_verb_short,0.647
sentential_negation_npi_licensor_present,0.128
sentential_negation_npi_scope,0.486
subj_aux_agreement_question_vary_aux,0.535
subj_aux_agreement_question_vary_subj,0.492
subj_aux_vary_subj,0.875
subj_aux_vary_verb,0.806
subj_aux_vary_verb_pp,0.174
subj_aux_vary_verb_rc,0.346
subj_verb_vary_verb,0.565
svo_vos,0.502
swapped_ditransitive_1,0.285
swapped_ditransitive_2,0.635
transitive,0.571
wh_island,0.789
wh_questions_object_gap,0.678
wh_questions_object_gap_long_distance,0.697
wh_questions_subject_gap,0.884
wh_questions_subject_gap_long_distance,0.843
wh_vs_that_no_gap,0.985
wh_vs_that_no_gap_long_distance,0.985
wh_vs_that_with_gap,0.114
wh_vs_that_with_gap_long_distance,0.101
